  1    2    3    4    5    6    7  
  2    1    3    7    8    9   19  
  3    1    2    4    9   10   11  
  4    1    3    5   11   12   13  
  5    1    4    6   13   14   15  
  6    1    5    7   15   16   17  
  7    1    2    6   17   18   19  
  8    2    9   19   20   21   37  
  9    2    3    8   10   21   22  
 10    3    9   11   22   23   24  
 11    3    4   10   12   24   25  
 12    4   11   13   25   26   27  
 13    4    5   12   14   27   28  
 14    5   13   15   28   29   30  
 15    5    6   14   16   30   31  
 16    6   15   17   31   32   33  
 17    6    7   16   18   33   34  
 18    7   17   19   34   35   36  
 19    2    7    8   18   36   37  
 20    8   21   37   38   39   61  
 21    8    9   20   22   39   40  
 22    9   10   21   23   40   41  
 23   10   22   24   41   42   43  
 24   10   11   23   25   43   44  
 25   11   12   24   26   44   45  
 26   12   25   27   45   46   47  
 27   12   13   26   28   47   48  
 28   13   14   27   29   48   49  
 29   14   28   30   49   50   51  
 30   14   15   29   31   51   52  
 31   15   16   30   32   52   53  
 32   16   31   33   53   54   55  
 33   16   17   32   34   55   56  
 34   17   18   33   35   56   57  
 35   18   34   36   57   58   59  
 36   18   19   35   37   59   60  
 37    8   19   20   36   60   61  
 38   20   39   61   62   63   91  
 39   20   21   38   40   63   64  
 40   21   22   39   41   64   65  
 41   22   23   40   42   65   66  
 42   23   41   43   66   67   68  
 43   23   24   42   44   68   69  
 44   24   25   43   45   69   70  
 45   25   26   44   46   70   71  
 46   26   45   47   71   72   73  
 47   26   27   46   48   73   74  
 48   27   28   47   49   74   75  
 49   28   29   48   50   75   76  
 50   29   49   51   76   77   78  
 51   29   30   50   52   78   79  
 52   30   31   51   53   79   80  
 53   31   32   52   54   80   81  
 54   32   53   55   81   82   83  
 55   32   33   54   56   83   84  
 56   33   34   55   57   84   85  
 57   34   35   56   58   85   86  
 58   35   57   59   86   87   88  
 59   35   36   58   60   88   89  
 60   36   37   59   61   89   90  
 61   20   37   38   60   90   91  
 62   63   38   91    0    0    0  
 63   92   64   39   38   62    0  
 64   92   93   65   40   39   63  
 65   93   94   66   41   40   64  
 66   94   67   42   41   65    0  
 67   68   42   66    0    0    0  
 68   67   95   69   43   42    0  
 69   68   95   96   70   44   43  
 70   69   96   97   71   45   44  
 71   70   97   72   46   45    0  
 72   71   73   46    0    0    0  
 73   46   72   98   74   47    0  
 74   47   73   98   99   75   48  
 75   48   74   99   10    7    4  
 76   49   75  100   77   50    0  
 77   50   76   78    0    0    0  
 78   51   50   77  101   79    0  
 79   52   51   78  101  102   80  
 80   53   52   79  102  103   81  
 81   54   53   80  103   82    0  
 82   83   54   81    0    0    0  
 83   84   55   54   82  104    0  
 84   85   56   55   83  104  105  
 85   86   57   56   84  105  106  
 86   87   58   57   85  106    0  
 87   88   58   86    0    0    0  
 88  107   89   59   58   87    0  
 89  108   90   60   59   88  107  
 90  109   91   61   60   89  108  
 91   62   38   61   90  109    0  
 92   93   64   63    0    0    0  
 93   94   65   64   92    0    0  
 94   66   65   93    0    0    0  
 95   96   69   68    0    0    0  
 96   95   97   70   69    0    0  
 97   96   71   70    0    0    0  
 98   73   99   74    0    0    0  
 99   74   98  100   75    0    0  
100   75   99   76    0    0    0  
101   79   78  102    0    0    0  
102   80   79  101  103    0    0  
103   81   80  102    0    0    0  
104  105   84   83    0    0    0  
105  106   85   84  104    0    0  
106   86   85  105    0    0    0  
107  108   89   88    0    0    0  
108  109   90   89  107    0    0  
109   91   90  108    0    0    0  
