000019.2  -441726  6.29  +0.76
000023.9  +265506  6.46  +0.50
000030.9  +593335  6.19  +1.01
000043.7  +451512  6.38  -0.07
000104.5  -484836  5.71  +0.91
000119.3  +495854  6.22  +0.97
000120.0  -502014  5.53  +1.60
000135.7  -770357  4.78  +1.27
000136.9  +611323  5.55  +0.41
000143.8  +422202  6.25  -0.03
000149.4  -030139  5.10  -0.12
000157.6  -060051  4.41  +1.63
000207.3  -144034   7.1  +1.80
000210.2  +270455  5.75  +0.67
000219.9  -294313  5.01  -0.15
000224.2  +085725  6.32  +0.18
000229.7  +082908  5.63  +0.29
000236.1  +660556  5.86  +1.09
000257.6  -200246  6.25  +0.53
000307.7  -240843  6.44  +1.18
000325.7  +633831  6.24  +0.33
000344.4  -172010  4.55  -0.05
000351.9  +664244  6.29  +1.67
000413.6  +621716  5.88  +0.30
000419.7  -163144  5.78  +1.10
000420.3  -291607  6.40   0.00
000430.1  -103034  4.94  +1.63
000430.7  -725352  7.31  +0.44
000441.3  -712613  5.59  -0.12
000442.0  +671000  5.67  +1.07
000453.8  +343935  6.12  +0.62
000456.0  +263856  6.25  +1.40
000503.8  -003011  6.29  +1.10
000506.2  +611851  5.80  -0.09
000509.9  +451345  6.70  +0.07
000520.1  -054227  4.61  +1.04
000542.0  +132346  5.51  +0.90
000616.0  +582612  5.96  +0.67
000619.0  -490430  5.70  +0.52
000626.5  +641146  5.59  -0.03
000636.8  +290117  6.13  +0.75
000650.1  -230627  6.18  +0.38
000718.2  -172311  6.19  +0.14
000744.1  -023256  6.43  -0.14
000746.8  -223032  5.94  +0.14
000803.5  -333146  5.68  +1.12
000812.1  -022652  6.07  +1.38
000817.4  -084926  5.99  +1.04
000823.3  +290526  2.06  -0.11
000833.4  -173439  6.06  +1.67
000841.0  +363736  6.19  +0.48
000852.2  +252746  6.23  +0.97
000902.4  +181243  5.53  +1.04
000902.4  -540007  6.33  +0.74
000910.7  +590859  2.27  +0.34
000920.2  +794253  6.01  +0.19
000921.0  -275916  5.42  +0.42
000924.7  -454451  3.88  +1.03
001002.1  -821326  5.28  +1.05
001002.3  +110844  5.51  -0.07
001018.8  -051455  5.84  +0.98
001019.3  +460420  5.03  +0.40
001029.7  +570956  6.74  -0.08
001038.6  -731328  6.64  +0.37
001042.8  -123448  5.85  +1.01
001115.9  -152805  4.89  +0.49
001134.4  -274759  5.41  +1.34
001144.0  -350759  5.25  +0.44
001159.1  +480909  6.16  +1.45
001210.0  -175618  5.25  +1.48
001250.4  +374136  6.73  -0.13
001314.2  +151101  2.83  -0.23
001319.4  -845939  5.77  +1.72
001324.0  +265914  6.30  +0.65
001330.8  +410207  5.72  +0.31
001342.1  -260119  5.94  +1.55
001344.2  -261705  6.31  +1.48
001402.3  +331222  6.25  -0.01
001427.6  -074650  5.12  +1.62
001436.2  +201224  4.80  +1.57
001438.4  -185558  4.44  +1.66
001454.5  -093411  5.75  -0.08
001456.1  +221703  6.24  -0.01
001458.2  -345416  6.17  +1.34
001458.8  +084915  5.79  +0.31
001510.6  +271659  6.35  -0.02
001555.2  -755441  6.49  +1.00
001608.9  -312647  5.67  +1.35
001614.0  +765703  6.35  -0.07
001621.6  +433541  6.15  +0.05
001634.1  +081424  6.11  +0.92
001642.5  -201238  6.47  -0.09
001649.0  -784650  6.77  +0.46
001657.1  +613200  5.74  +0.88
001705.5  +384054  4.61  +0.06
001709.1  +475651  5.89  -0.09
001732.6  -190304  6.45  +0.37
001743.0  +512559  6.14  -0.13
001747.7  +014120  6.17  +0.94
001817.2  +111221  6.05  +1.03
001819.7  +364707  4.52  +0.05
001838.3  +313102  5.87  -0.01
001841.8  -080310  6.46  +0.68
001842.1  +434728  6.11  -0.08
001842.6  -431407  6.33  +1.21
001925.7  -084926  3.56  +1.22
001941.6  +404347  6.33  +1.18
002004.3  -645229  4.23  +0.58
002024.4  +305609  5.90  -0.10
002035.9  +081125  5.37  +1.34
002039.0  -693730  5.51  -0.05
002045.5  +325441  5.79  +1.59
002107.3  +375807  5.18  +0.42
002128.6  -772537  5.97  +1.40
002131.2  -285854  5.18  +1.00
002146.3  -200328  5.12  +1.82
002225.5  +132857  6.23  +1.22
002251.8  -121234  6.39  +0.66
002312.6  -310210  6.55   0.00
002402.0  +383438  7.39  +1.97
002415.6  +520112  5.57  -0.12
002429.7  -021309  6.07  +1.22
002447.5  +614952  5.40   0.00
002506.4  +530249  5.74  -0.06
002524.2  +015623  5.77  +0.86
002545.1  -771515  2.80  +0.62
002612.2  -434048  3.94  +0.17
002617.0  -421822  2.39  +1.09
002637.4  -000259  6.19  +0.90
002714.7  -253250  5.98  +1.03
002755.7  -330026  4.81  +1.64
002802.9  +175335  5.06  +1.65
002812.7  +162642  6.06  +1.58
002813.7  +442340  5.17  +0.03
002820.1  +101123  6.04  +0.43
002821.1  -202006  6.43  +0.59
002826.4  -395454  5.43  +1.56
002843.1  -503158  6.26  +1.09
002856.6  +365400  6.26  +0.92
002948.9  -320700  6.57  +1.34
002951.9  -145151  6.14  +0.37
003002.4  -035726  5.72  +1.56
003007.3  +294506  5.23  +0.24
003019.9  +595838  5.94  +0.01
003022.7  -234716  5.19  +0.12
003026.1  -481254  5.69  +0.35
003027.8  -405622  6.19  +0.33
003055.0  +770110  6.21  +0.84
003125.0  -484813  4.77  +0.02
003125.3  +663110  6.18  -0.10
003125.6  +333454  5.87  +1.14
003132.7  -625729  4.37  -0.07
003133.6  -625757  4.54  +0.15
003141.2  +525022  5.60  +1.15
003146.4  +543120  4.73  -0.10
003223.8  +065720  5.67   0.00
003226.8  +432941  6.70  -0.01
003235.5  +201740  5.38  +1.08
003243.8  -630152  5.09  +0.04
003249.1  +281649  6.30  +1.00
003300.0  +625554  4.16  +0.14
003310.4  +545342  5.93  +1.04
003319.3  +705854  6.42  -0.01
003323.3  -711558  6.13  +0.23
003341.1  -293330  5.55  +1.27
003424.9  +664501  6.48  -0.08
003427.8  -522223  5.57  +0.47
003514.9  -033534  5.20  +0.56
003532.8  -003020  5.93  +0.44
003533.4  -544919  6.06  +1.01
003541.1  -480003  5.51  +0.44
003554.7  +131224  6.41  +0.52
003603.0  -145825  6.45  +1.06
003606.9  -225033  6.06  +0.29
003608.3  +541007  5.08  -0.11
003620.0  +271517  6.50  -0.09
003627.3  +601934  5.79  +0.29
003637.4  -650729  6.42  +1.26
003646.6  +442919  5.13  +1.60
003647.3  +151354  5.89  -0.15
003652.9  +334310  4.36  -0.14
003658.3  +535349  3.66  -0.20
003718.1  -542339  6.41  +1.00
003720.7  -244602  5.57  +0.72
003721.1  +352358  5.48  +0.88
003730.5  +030807  6.39  +1.33
003833.3  +291842  4.37  +0.87
003840.8  -730814  6.85  +0.11
003909.9  +492116  5.43  +1.64
003919.7  +305139  3.27  +1.28
003921.8  +211502  5.87  +0.85
003947.3  +822938  6.40  +0.55
003952.0  -444748  6.01  +1.14
003955.6  +212618  5.36  +1.16
003957.9  -335742  6.69  +0.51
004026.4  -592716  5.89  +0.55
004028.6  -163101  6.49  +0.92
004030.5  +563214  2.23  +1.17
004032.9  -234816  6.14  +0.70
004042.4  -042107  5.91  +1.10
004107.2  +392731  5.33  +0.89
004119.6  -460506  4.59  +0.97
004136.0  +243745  6.04  +0.26
004146.4  -563006  5.70  +0.20
004203.4  +660851  5.83  +1.04
004203.9  +503045  4.80  -0.11
004228.4  -652805  5.39  +0.50
004231.1  +584512  6.17  -0.01
004241.8  -601545  5.98  +1.32
004242.9  -382748  6.06  -0.03
004321.2  -572747  4.36   0.00
004328.1  +470129  4.94  +0.18
004335.4  -175912  2.04  +1.02
004350.2  -120042  6.02  +1.10
004411.4  -103634  4.76  +1.01
004412.1  -382518  5.90  +1.16
004426.4  +475151  5.67  -0.12
004432.3  -622952  6.07  +0.44
004443.5  +481704  4.54  -0.07
004444.4  -220022  5.24  +0.33
004457.1  -424036  5.94  +0.28
004500.0  -534254  6.15  +0.53
004517.2  +551318  5.42  +0.04
004524.1  -043745  6.15  +1.62
004528.7  -125251  6.15  +0.61
004539.0  +745917  5.66  +0.05
004541.7  -162527  6.47  +0.31
004545.6  -473306  5.80  +0.64
004610.9  +445141  6.05  -0.07
004611.8  -223119  5.50  +0.98
004633.0  +152832  5.38  +1.65
004642.4  +593428  6.39  +1.09
