5.575541389 22.014460278 49671 0.010993 29.9069087374 -376304.54e-15
5.575541389 22.014460278 49701 0.030726 29.9059334130 -376276.16e-15
5.575541389 22.014460278 49732 0.016971 29.9049256347 -376243.73e-15
5.575541389 22.014460278 49763 0.006826 29.9039179433 -376215.28e-15
5.575541389 22.014460278 49791 0.026099 29.9030088525 -376181.81e-15
5.575541389 22.014460278 50005 0.018106 29.8960544878 -375956.92e-15
5.575541389 22.014460278 50036 0.022190 29.8950475732 -375937.22e-15
5.575541389 22.014460278 50066 0.005786 29.8940731973 -375892.63e-15
5.575541389 22.014460278 50097 0.025658 29.8930664506 -375860.00e-15
5.575541389 22.014460278 50128 0.024596 29.8920597730 -375836.12e-15
5.575541389 22.014460278 50157 0.016145 29.8911181331 -375818.33e-15
5.575541389 22.014460278 50371 0.018823 29.8841712611 -375672.28e-15
5.575541389 22.014460278 50402 0.023243 29.8831651355 -375623.34e-15
5.575541389 22.014460278 50432 0.014602 29.8821915647 -375594.71e-15
5.575541389 22.014460278 50463 0.022735 29.8811856736 -375573.01e-15
5.575541389 22.014460278 50494 0.003190 29.8801797951 -375513.83e-15
5.575541389 22.014460278 50522 0.000436 29.8792713232 -375524.88e-15
5.575541389 22.014460278 51497 0.026928 29.8476751125 -374629.14e-15
5.575541389 22.014460278 51527 0.011871 29.8467040932 -374612.68e-15
5.575541389 22.014460278 51558 0.026218 29.8457007754 -374567.92e-15
5.575541389 22.014460278 51589 0.011350 29.8446975585 -374545.55e-15
5.575541389 22.014460278 51618 0.027688 29.8437591143 -374529.34e-15
